"date","incidence"
2013-03-11,2.39237
2013-03-18,2.06778
2013-03-25,1.90281
2013-04-01,1.65902
2013-04-08,1.43006
2013-04-15,1.27757
2013-04-22,1.19009
2013-04-29,1.09556
2013-05-06,1.08589
2013-05-13,1.07343
2013-05-20,1.01677
2013-05-27,1.04847
2013-06-03,0.920349
2013-06-10,0.920779
2013-06-17,0.904333
2013-06-24,0.83057
2013-07-01,0.862837
2013-07-08,0.732182
2013-07-15,0.724558
2013-07-22,0.740848
2013-07-29,0.726037
2013-08-05,0.755639
2013-08-12,0.761847
2013-08-19,0.779896
2013-08-26,0.899138
2013-09-02,0.999524
2013-09-09,1.0558
2013-09-16,1.0967
2013-09-23,1.24709
2013-09-30,1.15746
2013-10-07,1.27184
2013-10-14,1.31623
2013-10-21,1.37444
2013-10-28,1.46781
2013-11-04,1.5834
2013-11-11,1.60253
2013-11-18,1.72344
2013-11-25,2.11076
2013-12-02,2.1708
2013-12-09,2.36971
2013-12-16,3.15997
2013-12-23,4.59053
2013-12-30,4.28195
2014-01-06,3.56288
2014-01-13,3.36378
2014-01-20,3.39659
2014-01-27,3.11922
2014-02-03,2.83572
2014-02-10,2.48484
2014-02-17,2.2741
2014-02-24,2.07244
2014-03-03,1.98207
2014-03-10,1.82441
2014-03-17,1.82036
2014-03-24,1.75391
2014-03-31,1.74542
2014-04-07,1.67236
2014-04-14,1.51659
2014-04-21,1.44778
2014-04-28,1.29028
2014-05-05,1.37388
2014-05-12,1.34208
2014-05-19,1.34563
2014-05-26,1.21291
2014-06-02,1.19291
2014-06-09,1.14146
2014-06-16,1.06503
2014-06-23,1.12669
2014-06-30,0.947353
2014-07-07,0.944187
2014-07-14,0.934822
2014-07-21,0.81736
2014-07-28,0.852792
2014-08-04,0.746994
2014-08-11,0.761098
2014-08-18,0.767627
2014-08-25,0.862176
2014-09-01,0.984907
2014-09-08,1.16287
2014-09-15,1.22731
2014-09-22,1.2071
2014-09-29,1.16191
2014-10-06,1.30905
2014-10-13,1.37072
2014-10-20,1.43373
